time,cell,pdu,measured_power_util,production_power_util
1349700000000,a,pdu6,0.7540,0.6130
756600000000,a,pdu6,0.7540,0.6130
1316100000000,a,pdu6,0.7540,0.6130
746100000000,a,pdu6,0.7540,0.6130
1350900000000,a,pdu6,0.7480,0.6130
1313400000000,a,pdu6,0.7420,0.6130
1351500000000,a,pdu6,0.7420,0.6130
2632200000000,a,pdu6,0.7420,0.6130
2400000000000,a,pdu6,0.7360,0.6130
2622000000000,a,pdu6,0.7360,0.6130
2415600000000,a,pdu6,0.7360,0.6130
1944900000000,a,pdu6,0.7360,0.6130
1945800000000,a,pdu6,0.7360,0.6130
2613300000000,a,pdu6,0.7360,0.6130
2614200000000,a,pdu6,0.7360,0.6130
738600000000,a,pdu6,0.7360,0.6130
2612400000000,a,pdu6,0.7360,0.6130
2371800000000,a,pdu6,0.7360,0.6130
1858200000000,a,pdu6,0.7360,0.6130
1861800000000,a,pdu6,0.7360,0.6130
2042400000000,a,pdu6,0.7360,0.6130
1861500000000,a,pdu6,0.7360,0.6130
1950300000000,a,pdu6,0.7300,0.6130
2409300000000,a,pdu6,0.7300,0.6130
1947900000000,a,pdu6,0.7300,0.6130
645900000000,a,pdu6,0.7300,0.6130
1963500000000,a,pdu6,0.7300,0.6130
2633100000000,a,pdu6,0.7300,0.6130
2375100000000,a,pdu6,0.7300,0.6130
1842000000000,a,pdu6,0.7240,0.6130
1232400000000,a,pdu6,0.7240,0.6130
2548200000000,a,pdu6,0.7240,0.6130
1086000000000,a,pdu6,0.7240,0.6130
1958100000000,a,pdu6,0.7240,0.6130
629100000000,a,pdu6,0.7180,0.6130
1843800000000,a,pdu6,0.7180,0.6130
1840500000000,a,pdu6,0.7180,0.6130
2005200000000,a,pdu6,0.7120,0.6130
2529900000000,a,pdu6,0.7120,0.6130
2359500000000,a,pdu6,0.7120,0.6130
2014200000000,a,pdu6,0.7060,0.6130
628500000000,a,pdu6,0.7060,0.6130
2365500000000,a,pdu6,0.6880,0.6130
761100000000,a,pdu6,0.7590,0.6130
816900000000,a,pdu6,0.7590,0.6130
1318500000000,a,pdu6,0.7530,0.6130
846900000000,a,pdu6,0.7530,0.6130
1316400000000,a,pdu6,0.7530,0.6130
798900000000,a,pdu6,0.7530,0.6130
750900000000,a,pdu6,0.7530,0.6130
711600000000,a,pdu6,0.7530,0.6130
1318200000000,a,pdu6,0.7530,0.6130
710400000000,a,pdu6,0.7470,0.6130
846300000000,a,pdu6,0.7470,0.6130
1263000000000,a,pdu6,0.7470,0.6130
2190900000000,a,pdu6,0.7410,0.6130
2038500000000,a,pdu6,0.7410,0.6130
1262700000000,a,pdu6,0.7410,0.6130
2394000000000,a,pdu6,0.7350,0.6130
1858500000000,a,pdu6,0.7350,0.6130
2376300000000,a,pdu6,0.7350,0.6130
1356900000000,a,pdu6,0.7350,0.6130
2376600000000,a,pdu6,0.7350,0.6130
2376000000000,a,pdu6,0.7350,0.6130
1946100000000,a,pdu6,0.7350,0.6130
794400000000,a,pdu6,0.7350,0.6130
641700000000,a,pdu6,0.7350,0.6130
2379000000000,a,pdu6,0.7350,0.6130
2415900000000,a,pdu6,0.7350,0.6130
642000000000,a,pdu6,0.7350,0.6130
1859100000000,a,pdu6,0.7350,0.6130
2555100000000,a,pdu6,0.7290,0.6130
725700000000,a,pdu6,0.7290,0.6130
2554800000000,a,pdu6,0.7290,0.6130
2546100000000,a,pdu6,0.7290,0.6130
2553900000000,a,pdu6,0.7290,0.6130
2444700000000,a,pdu6,0.7290,0.6130
1963800000000,a,pdu6,0.7290,0.6130
1939200000000,a,pdu6,0.7290,0.6130
1839600000000,a,pdu6,0.7230,0.6130
1962000000000,a,pdu6,0.7230,0.6130
2017800000000,a,pdu6,0.7170,0.6130
634500000000,a,pdu6,0.7170,0.6130
2350200000000,a,pdu6,0.7170,0.6130
2003400000000,a,pdu6,0.7110,0.6130
2534700000000,a,pdu6,0.7110,0.6130
2010300000000,a,pdu6,0.7110,0.6130
2534400000000,a,pdu6,0.7050,0.6130
2019600000000,a,pdu6,0.7050,0.6130
2453400000000,a,pdu6,0.6990,0.6130
2531400000000,a,pdu6,0.6990,0.6130
749700000000,a,pdu6,0.7580,0.6130
1316700000000,a,pdu6,0.7520,0.6130
800400000000,a,pdu6,0.7520,0.6130
715200000000,a,pdu6,0.7520,0.6130
826500000000,a,pdu6,0.7460,0.6130
1087800000000,a,pdu6,0.7460,0.6130
1351200000000,a,pdu6,0.7460,0.6130
2034000000000,a,pdu6,0.7400,0.6130
794700000000,a,pdu6,0.7400,0.6130
2634600000000,a,pdu6,0.7340,0.6130
2615100000000,a,pdu6,0.7340,0.6130
2375700000000,a,pdu6,0.7340,0.6130
743700000000,a,pdu6,0.7340,0.6130
2442600000000,a,pdu6,0.7340,0.6130
2626500000000,a,pdu6,0.7340,0.6130
1311900000000,a,pdu6,0.7340,0.6130
1944600000000,a,pdu6,0.7340,0.6130
2435400000000,a,pdu6,0.7340,0.6130
2044200000000,a,pdu6,0.7340,0.6130
2544000000000,a,pdu6,0.7340,0.6130
2394900000000,a,pdu6,0.7340,0.6130
2634300000000,a,pdu6,0.7340,0.6130
2437800000000,a,pdu6,0.7340,0.6130
2043600000000,a,pdu6,0.7340,0.6130
2621400000000,a,pdu6,0.7340,0.6130
1938900000000,a,pdu6,0.7340,0.6130
2614800000000,a,pdu6,0.7340,0.6130
2630400000000,a,pdu6,0.7280,0.6130
2630100000000,a,pdu6,0.7280,0.6130
790200000000,a,pdu6,0.7280,0.6130
2458200000000,a,pdu6,0.7280,0.6130
1839300000000,a,pdu6,0.7220,0.6130
2556900000000,a,pdu6,0.7220,0.6130
1941300000000,a,pdu6,0.7220,0.6130
2350500000000,a,pdu6,0.7220,0.6130
2353800000000,a,pdu6,0.7160,0.6130
2019000000000,a,pdu6,0.7100,0.6130
1359900000000,a,pdu6,0.7100,0.6130
2349000000000,a,pdu6,0.7040,0.6130
2011500000000,a,pdu6,0.7040,0.6130
2531100000000,a,pdu6,0.7040,0.6130
2010900000000,a,pdu6,0.7040,0.6130
2532600000000,a,pdu6,0.7040,0.6130
2531700000000,a,pdu6,0.6980,0.6130
1854300000000,a,pdu6,0.6920,0.6130
2538900000000,a,pdu6,0.6860,0.6130
759600000000,a,pdu6,0.7630,0.6130
759000000000,a,pdu6,0.7630,0.6130
1063200000000,a,pdu6,0.7630,0.6130
759300000000,a,pdu6,0.7630,0.6130
1317900000000,a,pdu6,0.7570,0.6130
815400000000,a,pdu6,0.7570,0.6130
833400000000,a,pdu6,0.7510,0.6130
714300000000,a,pdu6,0.7510,0.6130
711900000000,a,pdu6,0.7510,0.6130
713700000000,a,pdu6,0.7510,0.6130
846600000000,a,pdu6,0.7510,0.6130
711300000000,a,pdu6,0.7510,0.6130
1086900000000,a,pdu6,0.7450,0.6130
2035500000000,a,pdu6,0.7390,0.6130
2617200000000,a,pdu6,0.7390,0.6130
2438100000000,a,pdu6,0.7330,0.6130
2438700000000,a,pdu6,0.7330,0.6130
2374800000000,a,pdu6,0.7330,0.6130
2415300000000,a,pdu6,0.7330,0.6130
2456100000000,a,pdu6,0.7330,0.6130
1946700000000,a,pdu6,0.7330,0.6130
2454900000000,a,pdu6,0.7330,0.6130
2635800000000,a,pdu6,0.7330,0.6130
1275300000000,a,pdu6,0.7330,0.6130
2633700000000,a,pdu6,0.7330,0.6130
1073100000000,a,pdu6,0.7330,0.6130
1946400000000,a,pdu6,0.7330,0.6130
630300000000,a,pdu6,0.7270,0.6130
2357700000000,a,pdu6,0.7270,0.6130
2408700000000,a,pdu6,0.7270,0.6130
1964400000000,a,pdu6,0.7270,0.6130
2557800000000,a,pdu6,0.7270,0.6130
2557500000000,a,pdu6,0.7270,0.6130
1834200000000,a,pdu6,0.7270,0.6130
1084200000000,a,pdu6,0.7210,0.6130
1869000000000,a,pdu6,0.7210,0.6130
1232100000000,a,pdu6,0.7210,0.6130
2364900000000,a,pdu6,0.7150,0.6130
2550000000000,a,pdu6,0.7150,0.6130
2014800000000,a,pdu6,0.7090,0.6130
2534100000000,a,pdu6,0.7030,0.6130
2011800000000,a,pdu6,0.7030,0.6130
2011200000000,a,pdu6,0.7030,0.6130
1236300000000,a,pdu6,0.6970,0.6130
2539500000000,a,pdu6,0.6850,0.6130
815100000000,a,pdu6,0.7560,0.6130
849000000000,a,pdu6,0.7500,0.6070
714000000000,a,pdu6,0.7500,0.6070
757200000000,a,pdu6,0.7500,0.6070
888000000000,a,pdu6,0.7500,0.6070
884700000000,a,pdu6,0.7500,0.6070
839400000000,a,pdu6,0.7440,0.6070
924000000000,a,pdu6,0.7440,0.6070
1494600000000,a,pdu6,0.7440,0.6070
1461000000000,a,pdu6,0.7380,0.6070
886500000000,a,pdu6,0.7380,0.6070
1184100000000,a,pdu6,0.7380,0.6070
751200000000,a,pdu6,0.7380,0.6070
2266200000000,a,pdu6,0.7380,0.6070
1484700000000,a,pdu6,0.7380,0.6070
1462500000000,a,pdu6,0.7380,0.6070
1460700000000,a,pdu6,0.7380,0.6070
1485000000000,a,pdu6,0.7380,0.6070
1183800000000,a,pdu6,0.7380,0.6070
1524600000000,a,pdu6,0.7320,0.6070
2523000000000,a,pdu6,0.7320,0.6070
1499400000000,a,pdu6,0.7320,0.6070
1785900000000,a,pdu6,0.7320,0.6070
1952400000000,a,pdu6,0.7320,0.6070
1143300000000,a,pdu6,0.7320,0.6070
2385600000000,a,pdu6,0.7320,0.6070
1520700000000,a,pdu6,0.7260,0.6070
2395500000000,a,pdu6,0.7260,0.6070
2566500000000,a,pdu6,0.7260,0.6070
1518000000000,a,pdu6,0.7260,0.6070
706800000000,a,pdu6,0.7260,0.6070
2458500000000,a,pdu6,0.7260,0.6070
644700000000,a,pdu6,0.7260,0.6070
1835100000000,a,pdu6,0.7260,0.6070
784200000000,a,pdu6,0.7260,0.6070
1181400000000,a,pdu6,0.7260,0.6070
2382000000000,a,pdu6,0.7260,0.6070
1396500000000,a,pdu6,0.7200,0.6070
706500000000,a,pdu6,0.7200,0.6070
2564400000000,a,pdu6,0.7200,0.6070
1574400000000,a,pdu6,0.7200,0.6070
1508100000000,a,pdu6,0.7200,0.6070
2560500000000,a,pdu6,0.7200,0.6070
1598400000000,a,pdu6,0.7200,0.6070
1867200000000,a,pdu6,0.7200,0.6070
1922400000000,a,pdu6,0.7140,0.6070
2086200000000,a,pdu6,0.7080,0.6070
1514400000000,a,pdu6,0.7080,0.6070
1828800000000,a,pdu6,0.7020,0.6070
834600000000,a,pdu6,0.7020,0.6070
2278800000000,a,pdu6,0.7020,0.6070
633300000000,a,pdu6,0.7020,0.6070
638100000000,a,pdu6,0.7020,0.6070
1838100000000,a,pdu6,0.6960,0.6070
2403600000000,a,pdu6,0.6960,0.6070
1744500000000,a,pdu6,0.6960,0.6070
1844700000000,a,pdu6,0.6960,0.6070
2275200000000,a,pdu6,0.6900,0.6070
1845000000000,a,pdu6,0.6900,0.6070
1745400000000,a,pdu6,0.6840,0.6070
755400000000,a,pdu6,0.7550,0.6070
881700000000,a,pdu6,0.7550,0.6070
845400000000,a,pdu6,0.7430,0.6070
1496400000000,a,pdu6,0.7430,0.6070
916200000000,a,pdu6,0.7430,0.6070
846000000000,a,pdu6,0.7430,0.6070
2266500000000,a,pdu6,0.7370,0.6070
886200000000,a,pdu6,0.7370,0.6070
885600000000,a,pdu6,0.7370,0.6070
2181300000000,a,pdu6,0.7370,0.6070
1184400000000,a,pdu6,0.7370,0.6070
1535400000000,a,pdu6,0.7370,0.6070
656100000000,a,pdu6,0.7370,0.6070
2190600000000,a,pdu6,0.7370,0.6070
913500000000,a,pdu6,0.7370,0.6070
2199900000000,a,pdu6,0.7370,0.6070
2202600000000,a,pdu6,0.7370,0.6070
2401200000000,a,pdu6,0.7310,0.6070
1525200000000,a,pdu6,0.7310,0.6070
1968300000000,a,pdu6,0.7310,0.6070
2467500000000,a,pdu6,0.7250,0.6070
2189700000000,a,pdu6,0.7250,0.6070
1791300000000,a,pdu6,0.7250,0.6070
2428500000000,a,pdu6,0.7250,0.6070
2408400000000,a,pdu6,0.7250,0.6070
2428200000000,a,pdu6,0.7250,0.6070
780000000000,a,pdu6,0.7250,0.6070
2119800000000,a,pdu6,0.7250,0.6070
1554000000000,a,pdu6,0.7250,0.6070
2565600000000,a,pdu6,0.7250,0.6070
2120100000000,a,pdu6,0.7250,0.6070
1518600000000,a,pdu6,0.7250,0.6070
1455000000000,a,pdu6,0.7190,0.6070
782400000000,a,pdu6,0.7190,0.6070
2568600000000,a,pdu6,0.7190,0.6070
780300000000,a,pdu6,0.7190,0.6070
2572800000000,a,pdu6,0.7130,0.6070
1606200000000,a,pdu6,0.7130,0.6070
2080500000000,a,pdu6,0.7130,0.6070
1836600000000,a,pdu6,0.7070,0.6070
1832100000000,a,pdu6,0.7010,0.6070
1931400000000,a,pdu6,0.7010,0.6070
2277900000000,a,pdu6,0.7010,0.6070
1744800000000,a,pdu6,0.6950,0.6070
2447700000000,a,pdu6,0.6950,0.6070
1443300000000,a,pdu6,0.6890,0.6070
2450100000000,a,pdu6,0.6890,0.6070
2343900000000,a,pdu6,0.6770,0.6070
1850100000000,a,pdu6,0.6710,0.6070
1853100000000,a,pdu6,0.6710,0.6070
1850400000000,a,pdu6,0.6710,0.6070
841500000000,a,pdu6,0.7540,0.6070
1401900000000,a,pdu6,0.7480,0.6070
708900000000,a,pdu6,0.7480,0.6070
1528200000000,a,pdu6,0.7420,0.6070
1499100000000,a,pdu6,0.7420,0.6070
1699800000000,a,pdu6,0.7420,0.6070
1702800000000,a,pdu6,0.7420,0.6070
909000000000,a,pdu6,0.7420,0.6070
2271000000000,a,pdu6,0.7420,0.6070
1495800000000,a,pdu6,0.7420,0.6070
1186500000000,a,pdu6,0.7360,0.6070
1519800000000,a,pdu6,0.7360,0.6070
2193000000000,a,pdu6,0.7360,0.6070
2416200000000,a,pdu6,0.7360,0.6070
1707000000000,a,pdu6,0.7360,0.6070
776400000000,a,pdu6,0.7360,0.6070
2414100000000,a,pdu6,0.7360,0.6070
1952100000000,a,pdu6,0.7360,0.6070
1458000000000,a,pdu6,0.7360,0.6070
2199600000000,a,pdu6,0.7360,0.6070
1502100000000,a,pdu6,0.7300,0.6070
1594500000000,a,pdu6,0.7300,0.6070
2445900000000,a,pdu6,0.7300,0.6070
789000000000,a,pdu6,0.7300,0.6070
2432400000000,a,pdu6,0.7300,0.6070
1788600000000,a,pdu6,0.7300,0.6070
655800000000,a,pdu6,0.7300,0.6070
2283300000000,a,pdu6,0.7300,0.6070
1522200000000,a,pdu6,0.7300,0.6070
1494000000000,a,pdu6,0.7300,0.6070
652200000000,a,pdu6,0.7300,0.6070
1575900000000,a,pdu6,0.7300,0.6070
1970100000000,a,pdu6,0.7300,0.6070
1145100000000,a,pdu6,0.7300,0.6070
1182600000000,a,pdu6,0.7300,0.6070
1177200000000,a,pdu6,0.7300,0.6070
2386200000000,a,pdu6,0.7300,0.6070
1594800000000,a,pdu6,0.7300,0.6070
651000000000,a,pdu6,0.7300,0.6070
1526700000000,a,pdu6,0.7300,0.6070
1491000000000,a,pdu6,0.7300,0.6070
1866300000000,a,pdu6,0.7240,0.6070
1960800000000,a,pdu6,0.7240,0.6070
2460900000000,a,pdu6,0.7240,0.6070
793200000000,a,pdu6,0.7240,0.6070
1510500000000,a,pdu6,0.7240,0.6070
2465400000000,a,pdu6,0.7240,0.6070
1703700000000,a,pdu6,0.7240,0.6070
2395800000000,a,pdu6,0.7240,0.6070
2526900000000,a,pdu6,0.7240,0.6070
1510200000000,a,pdu6,0.7240,0.6070
2095500000000,a,pdu6,0.7240,0.6070
2461800000000,a,pdu6,0.7240,0.6070
1511700000000,a,pdu6,0.7240,0.6070
1187400000000,a,pdu6,0.7240,0.6070
1149900000000,a,pdu6,0.7180,0.6070
1138200000000,a,pdu6,0.7180,0.6070
835200000000,a,pdu6,0.7180,0.6070
1704600000000,a,pdu6,0.7180,0.6070
1926600000000,a,pdu6,0.7180,0.6070
2390700000000,a,pdu6,0.7180,0.6070
1142400000000,a,pdu6,0.7180,0.6070
1140300000000,a,pdu6,0.7180,0.6070
1698900000000,a,pdu6,0.7180,0.6070
1872000000000,a,pdu6,0.7120,0.6070
771000000000,a,pdu6,0.7120,0.6070
1836000000000,a,pdu6,0.7120,0.6070
2085000000000,a,pdu6,0.7120,0.6070
1875900000000,a,pdu6,0.7060,0.6070
2278500000000,a,pdu6,0.7060,0.6070
1833300000000,a,pdu6,0.7060,0.6070
1578000000000,a,pdu6,0.7060,0.6070
1847700000000,a,pdu6,0.7060,0.6070
632400000000,a,pdu6,0.7000,0.6070
2452200000000,a,pdu6,0.7000,0.6070
2276700000000,a,pdu6,0.6940,0.6070
1602300000000,a,pdu6,0.6940,0.6070
2535600000000,a,pdu6,0.6940,0.6070
1746000000000,a,pdu6,0.6880,0.6070
1851000000000,a,pdu6,0.6640,0.6070
840300000000,a,pdu6,0.7470,0.6070
1695600000000,a,pdu6,0.7470,0.6070
830100000000,a,pdu6,0.7470,0.6070
1701600000000,a,pdu6,0.7410,0.6070
925800000000,a,pdu6,0.7410,0.6070
2198100000000,a,pdu6,0.7410,0.6070
2203200000000,a,pdu6,0.7410,0.6070
1461300000000,a,pdu6,0.7410,0.6070
655200000000,a,pdu6,0.7350,0.6070
2523900000000,a,pdu6,0.7350,0.6070
1781400000000,a,pdu6,0.7350,0.6070
2419200000000,a,pdu6,0.7350,0.6070
1172100000000,a,pdu6,0.7350,0.6070
2280300000000,a,pdu6,0.7350,0.6070
915300000000,a,pdu6,0.7350,0.6070
848700000000,a,pdu6,0.7350,0.6070
1532400000000,a,pdu6,0.7350,0.6070
2194500000000,a,pdu6,0.7350,0.6070
1182900000000,a,pdu6,0.7350,0.6070
1785300000000,a,pdu6,0.7350,0.6070
2386500000000,a,pdu6,0.7350,0.6070
1530900000000,a,pdu6,0.7350,0.6070
2412300000000,a,pdu6,0.7350,0.6070
702600000000,a,pdu6,0.7350,0.6070
2288400000000,a,pdu6,0.7350,0.6070
1673400000000,a,pdu6,0.7350,0.6070
1532100000000,a,pdu6,0.7350,0.6070
2380500000000,a,pdu6,0.7290,0.6070
1574700000000,a,pdu6,0.7290,0.6070
1458600000000,a,pdu6,0.7290,0.6070
2116500000000,a,pdu6,0.7290,0.6070
1173900000000,a,pdu6,0.7290,0.6070
2400900000000,a,pdu6,0.7290,0.6070
1177500000000,a,pdu6,0.7290,0.6070
2436600000000,a,pdu6,0.7290,0.6070
2436900000000,a,pdu6,0.7290,0.6070
2399400000000,a,pdu6,0.7290,0.6070
2416800000000,a,pdu6,0.7290,0.6070
1968600000000,a,pdu6,0.7290,0.6070
1788900000000,a,pdu6,0.7290,0.6070
2482800000000,a,pdu6,0.7290,0.6070
783600000000,a,pdu6,0.7290,0.6070
1575000000000,a,pdu6,0.7290,0.6070
1942200000000,a,pdu6,0.7290,0.6070
1876500000000,a,pdu6,0.7230,0.6070
2525400000000,a,pdu6,0.7230,0.6070
1870200000000,a,pdu6,0.7230,0.6070
2565300000000,a,pdu6,0.7230,0.6070
622500000000,a,pdu6,0.7230,0.6070
2391000000000,a,pdu6,0.7230,0.6070
1509600000000,a,pdu6,0.7230,0.6070
2119500000000,a,pdu6,0.7230,0.6070
2567700000000,a,pdu6,0.7230,0.6070
629700000000,a,pdu6,0.7230,0.6070
2460000000000,a,pdu6,0.7230,0.6070
2095800000000,a,pdu6,0.7230,0.6070
1865100000000,a,pdu6,0.7230,0.6070
783000000000,a,pdu6,0.7230,0.6070
1506900000000,a,pdu6,0.7230,0.6070
626400000000,a,pdu6,0.7170,0.6070
